HR,SpO2
90.0,96.0
90.0,96.0
89.0,96.0
89.0,96.0
89.0,96.0
89.0,96.0
89.0,96.0
89.0,96.0
89.0,96.0
89.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
89.0,96.0
89.0,96.0
89.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
89.0,96.0
89.0,96.0
89.0,96.0
89.0,96.0
89.0,96.0
89.0,96.0
89.0,96.0
89.0,96.0
89.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
89.0,96.0
89.0,96.0
89.0,96.0
89.0,96.0
89.0,96.0
89.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
89.0,96.0
89.0,96.0
89.0,96.0
89.0,96.0
89.0,96.0
89.0,96.0
89.0,96.0
89.0,96.0
88.0,96.0
88.0,96.0
89.0,96.0
89.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
89.0,96.0
89.0,96.0
89.0,96.0
89.0,96.0
89.0,96.0
88.0,96.0
88.0,96.0
87.0,96.0
87.0,96.0
87.0,96.0
87.0,96.0
87.0,96.0
87.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
89.0,96.0
89.0,96.0
89.0,96.0
89.0,96.0
89.0,96.0
89.0,96.0
89.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
87.0,96.0
88.0,96.0
87.0,96.0
87.0,96.0
87.0,96.0
87.0,96.0
87.0,96.0
87.0,96.0
87.0,96.0
87.0,96.0
87.0,96.0
87.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
89.0,96.0
89.0,96.0
89.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
89.0,96.0
89.0,96.0
,96.0
,96.0
,96.0
,96.0
89.0,96.0
89.0,96.0
89.0,96.0
89.0,96.0
90.0,96.0
89.0,96.0
89.0,96.0
89.0,96.0
89.0,96.0
89.0,96.0
89.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
87.0,96.0
87.0,96.0
87.0,96.0
87.0,96.0
87.0,96.0
87.0,96.0
87.0,96.0
87.0,96.0
87.0,96.0
87.0,96.0
87.0,96.0
87.0,96.0
87.0,96.0
87.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
89.0,96.0
89.0,96.0
89.0,96.0
89.0,96.0
89.0,96.0
89.0,96.0
89.0,96.0
89.0,96.0
89.0,96.0
89.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
87.0,96.0
87.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
87.0,96.0
87.0,96.0
87.0,96.0
87.0,96.0
87.0,96.0
87.0,96.0
87.0,96.0
87.0,96.0
87.0,96.0
87.0,96.0
87.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
89.0,96.0
89.0,96.0
90.0,96.0
90.0,96.0
90.0,96.0
89.0,96.0
89.0,96.0
88.0,96.0
87.0,96.0
87.0,96.0
86.0,96.0
85.0,96.0
85.0,96.0
85.0,96.0
85.0,96.0
85.0,96.0
85.0,96.0
85.0,96.0
86.0,96.0
86.0,96.0
87.0,96.0
87.0,96.0
87.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
87.0,96.0
87.0,96.0
87.0,96.0
87.0,96.0
87.0,96.0
87.0,96.0
87.0,96.0
87.0,96.0
87.0,96.0
87.0,96.0
87.0,96.0
87.0,96.0
87.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
89.0,96.0
89.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
89.0,96.0
89.0,96.0
89.0,96.0
89.0,96.0
89.0,96.0
89.0,96.0
89.0,96.0
89.0,96.0
89.0,96.0
89.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
87.0,96.0
87.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
87.0,96.0
87.0,96.0
87.0,96.0
87.0,96.0
87.0,96.0
86.0,96.0
86.0,96.0
86.0,96.0
86.0,96.0
86.0,96.0
86.0,96.0
87.0,96.0
87.0,96.0
87.0,96.0
87.0,96.0
87.0,96.0
87.0,96.0
87.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
89.0,96.0
89.0,96.0
89.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
87.0,96.0
87.0,96.0
87.0,96.0
86.0,96.0
86.0,96.0
86.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
89.0,96.0
89.0,96.0
91.0,96.0
93.0,96.0
94.0,96.0
95.0,96.0
97.0,96.0
99.0,96.0
